0	0.520861	0.289422
1	0.576159	0.323705
2	0.610927	0.350112
3	0.627649	0.358886
4	0.639073	0.366734
5	0.640066	0.371912
6	0.646358	0.376528
7	0.658775	0.384733
8	0.653311	0.381635
9	0.657119	0.385981
10	0.667550	0.393384
11	0.664238	0.392547
12	0.667053	0.393716
13	0.664570	0.388650
14	0.668212	0.393175
15	0.664570	0.393886
16	0.671689	0.394049
17	0.667881	0.393432
18	0.668377	0.391920
19	0.664901	0.391800
20	0.667715	0.395216
21	0.671358	0.398550
22	0.668709	0.395458
23	0.665728	0.396429
24	0.669868	0.397516
25	0.662583	0.392950
26	0.667715	0.395822
27	0.666556	0.395353
28	0.664735	0.395104
29	0.662583	0.393205
30	0.670861	0.394842
31	0.674007	0.399193
32	0.668709	0.392768
33	0.669702	0.396915
34	0.665066	0.393252
35	0.670199	0.395792
36	0.673013	0.398020
37	0.671689	0.398024
38	0.666722	0.396501
39	0.666391	0.395637
40	0.671358	0.396972
41	0.672517	0.396858
42	0.671358	0.395822
43	0.674834	0.398006
44	0.675000	0.397805
45	0.666722	0.394595
46	0.666225	0.396344
47	0.664238	0.394763
48	0.669536	0.396438
49	0.663742	0.394470
