0	0.483113	0.269840
1	0.561589	0.313032
2	0.583940	0.326346
3	0.607781	0.341716
4	0.617550	0.351704
5	0.621523	0.354249
6	0.626159	0.358750
7	0.629139	0.361641
8	0.628146	0.359940
9	0.629636	0.363650
10	0.631291	0.365214
11	0.637086	0.366376
12	0.632947	0.363647
13	0.632781	0.362619
14	0.634603	0.364818
15	0.635265	0.364049
16	0.638576	0.366934
17	0.635099	0.367040
18	0.633278	0.366065
19	0.630629	0.366225
20	0.636258	0.368846
21	0.638576	0.366737
22	0.637914	0.367397
23	0.636589	0.367792
24	0.636093	0.368667
25	0.635265	0.366976
26	0.637914	0.367787
27	0.635927	0.366845
28	0.637252	0.366788
29	0.637086	0.367404
30	0.638576	0.367007
31	0.633940	0.366596
32	0.636589	0.368937
33	0.634768	0.367188
34	0.635927	0.365882
35	0.637914	0.369822
36	0.636093	0.366905
37	0.637748	0.368303
38	0.637748	0.368748
39	0.637417	0.367071
40	0.639570	0.367566
41	0.632616	0.366021
42	0.635430	0.367143
43	0.638079	0.367101
44	0.639404	0.367167
45	0.639404	0.369117
46	0.636424	0.366833
47	0.637914	0.367445
48	0.637583	0.370609
49	0.637252	0.369372
