0	0.590397	0.334066
1	0.644205	0.368918
2	0.649172	0.378032
3	0.655795	0.385430
4	0.661921	0.389400
5	0.664570	0.394159
6	0.667219	0.396285
7	0.672848	0.399252
8	0.673179	0.399151
9	0.677649	0.404063
10	0.674007	0.401796
11	0.681954	0.405482
12	0.679636	0.406819
13	0.682119	0.407939
14	0.682285	0.405051
15	0.681126	0.407540
16	0.680795	0.404580
17	0.682285	0.404986
18	0.689735	0.412459
19	0.690397	0.408636
20	0.681954	0.408160
21	0.687252	0.411154
22	0.689404	0.410084
23	0.683775	0.408600
24	0.686755	0.410761
25	0.686921	0.409803
26	0.685762	0.409881
27	0.682616	0.409829
28	0.683775	0.410748
29	0.684768	0.412148
30	0.685762	0.410541
31	0.679967	0.409006
32	0.687583	0.413094
33	0.684603	0.411680
34	0.677152	0.404496
35	0.681623	0.409775
36	0.677649	0.408183
37	0.680132	0.404450
38	0.682119	0.405764
39	0.686258	0.410418
40	0.684934	0.409338
41	0.681954	0.409002
42	0.680960	0.409143
43	0.683113	0.408821
44	0.681788	0.408503
45	0.685596	0.409143
46	0.678642	0.405574
47	0.676987	0.405000
48	0.674338	0.403220
49	0.677483	0.404961
